post_code,post_name,post_url,product_name,size,image_name
A1-1,오드리선 그린웨이 유기농 순면 오버나이트 생리대 날개형,https://www.coupang.com/vp/products/159814823?itemId=470199035&vendorItemId=70812286585&q=%EC%98%A4%EB%93%9C%EB%A6%AC%EC%84%A0+%EA%B7%B8%EB%A6%B0%EC%9B%A8%EC%9D%B4&itemsCount=26&searchId=8c2120d1e01d403bb3541889b2e97464&rank=1&isAddedCart=,,,A1-1.jpg
A1-2,오드리선 그린웨이 유기농 순면 대형 생리대 날개형,https://www.coupang.com/vp/products/159814825?itemId=470199044&vendorItemId=4174423302&q=%EC%98%A4%EB%93%9C%EB%A6%AC%EC%84%A0+%EA%B7%B8%EB%A6%B0%EC%9B%A8%EC%9D%B4&itemsCount=26&searchId=8c2120d1e01d403bb3541889b2e97464&rank=2&isAddedCart=,,,A1-2.jpg
A1-3,오드리선 그린웨이 유기농 순면 중형 생리대 날개형,https://www.coupang.com/vp/products/159814829?itemId=458809959&vendorItemId=5462490113&pickType=COU_PICK&q=%EC%98%A4%EB%93%9C%EB%A6%AC%EC%84%A0+%EA%B7%B8%EB%A6%B0%EC%9B%A8%EC%9D%B4&itemsCount=26&searchId=8c2120d1e01d403bb3541889b2e97464&rank=3&isAddedCart=,,,A1-3.jpg
A3-1,오드리선 슈퍼울트라 슬림 대형 생리대 날개형,https://www.coupang.com/vp/products/45040509?itemId=1083936436&vendorItemId=3776369967&q=%EC%98%A4%EB%93%9C%EB%A6%AC%EC%84%A0+%EC%9A%B8%ED%8A%B8%EB%9D%BC%EC%8A%AC%EB%A6%BC&itemsCount=36&searchId=18c1ffd53a9b4cf0a2a38a442e77078b&rank=1&isAddedCart=,,,A3-1.jpg
A3-2,오드리선 울트라슬림 오버나이트 생리대,https://www.coupang.com/vp/products/94436094?itemId=3306742134&vendorItemId=3776369880&q=%EC%98%A4%EB%93%9C%EB%A6%AC%EC%84%A0+%EC%9A%B8%ED%8A%B8%EB%9D%BC%EC%8A%AC%EB%A6%BC&itemsCount=36&searchId=18c1ffd53a9b4cf0a2a38a442e77078b&rank=2&isAddedCart=,,,A3-2.jpg
A3-3,오드리선 순면 생리대 울트라슬림 세트 [중형4],https://www.coupang.com/vp/products/315880005?itemId=1004312741&vendorItemId=5434016768&q=%EC%98%A4%EB%93%9C%EB%A6%AC%EC%84%A0+%EC%9A%B8%ED%8A%B8%EB%9D%BC%EC%8A%AC%EB%A6%BC&itemsCount=36&searchId=18c1ffd53a9b4cf0a2a38a442e77078b&rank=3&isAddedCart=,,,A3-3.jpg
B10-1,유기농본 골드 중형 생리대 16p × 2팩 + 대형 생리대 14p,https://www.coupang.com/vp/products/1721735509?itemId=2930495442&vendorItemId=70919090354&q=%EC%88%9C%EB%A9%B4%EB%B3%B8%EC%83%9D%EB%A6%AC%EB%8C%80(%EB%8C%80%ED%98%95)&itemsCount=36&searchId=3501c927e86d43f693b7d01e2e97eed0&rank=1&isAddedCart=,,,B10-1.jpg
B10-2,유기농본 골드 생리대 날개형 중형 16p + 대형 14p,https://www.coupang.com/vp/products/68671974?itemId=229252682&vendorItemId=3559986449&pickType=COU_PICK&q=%EC%88%9C%EB%A9%B4%EB%B3%B8%EC%83%9D%EB%A6%AC%EB%8C%80(%EB%8C%80%ED%98%95)&itemsCount=36&searchId=3501c927e86d43f693b7d01e2e97eed0&rank=2&isAddedCart=,,,B10-2.jpg
B10-3,유기농본 골드 대형 생리대 슬림 날개형,https://www.coupang.com/vp/products/112592900?itemId=358706980&vendorItemId=4193922829&q=%EC%88%9C%EB%A9%B4%EB%B3%B8%EC%83%9D%EB%A6%AC%EB%8C%80(%EB%8C%80%ED%98%95)&itemsCount=36&searchId=3501c927e86d43f693b7d01e2e97eed0&rank=3&isAddedCart=,,,B10-3.jpg
B11-1,유기농본 순면본 생리대 소형 울트라 날개형,https://www.coupang.com/vp/products/2915589?itemId=768411542&vendorItemId=4940084340&q=%EC%88%9C%EB%A9%B4%EB%B3%B8%EC%83%9D%EB%A6%AC%EB%8C%80(%EC%86%8C%ED%98%95)&itemsCount=36&searchId=d932eeaf18784acebbc7e2faf1435cab&rank=1&isAddedCart=,,,B11-1.jpg
B11-2,유기농본 골드 소형 생리대 날개형,https://www.coupang.com/vp/products/191251943?itemId=546629221&vendorItemId=4433409159&q=%EC%88%9C%EB%A9%B4%EB%B3%B8%EC%83%9D%EB%A6%AC%EB%8C%80(%EC%86%8C%ED%98%95)&itemsCount=36&searchId=d932eeaf18784acebbc7e2faf1435cab&rank=2&isAddedCart=,,,B11-2.jpg
B11-3,유기농본 골드 생리대 날개형 중형 16p 2팩+ 대형 14p 2팩,https://www.coupang.com/vp/products/1082688901?itemId=2035811081&vendorItemId=70576021183&q=%EC%88%9C%EB%A9%B4%EB%B3%B8%EC%83%9D%EB%A6%AC%EB%8C%80(%EC%86%8C%ED%98%95)&itemsCount=36&searchId=d932eeaf18784acebbc7e2faf1435cab&rank=3&isAddedCart=,,,B11-3.jpg
