company,product,companycode,productnum,size,code
A&R International,오드리선그린웨이리미티드대형,A,1,4,A0104
A&R International,오드리선그린웨이리미티드중형,A,2,3,A0203
A&R International,오드리선울트라슬림리중형,A,3,3,A0303
J2LOH(J2LFA),본에스생리대(소형),B,1,2,B0102
J2LOH(J2LFA),본에스생리대(슈퍼롱),B,2,5,B0205
J2LOH(J2LFA),본플러스도톰한생리대대형,B,3,4,B0304
J2LOH(J2LFA),본플러스도톰한생리대중형,B,4,3,B0403
J2LOH(J2LFA),본플러스소형,B,5,2,B0502
J2LOH(J2LFA),본플러스중형,B,6,3,B0603
J2LOH(J2LFA),순면본생리대(대형),B,7,4,B0704
J2LOH(J2LFA),순면본생리대(소형),B,8,2,B0802
J2LOH(J2LFA),순면본생리대(중형),B,9,3,B0903
J2LOH(J2LFA),오씨본울트라슬림생리대(대형),B,10,4,B1004
J2LOH(J2LFA),오씨본울트라슬림생리대(소형),B,11,2,B1102
J2LOH(J2LFA),오씨본울트라슬림생리대(중형),B,12,3,B1203
LG유니참,쏘피귀애랑오버나이트,C,1,5,C0105
LG유니참,쏘피귀애랑팬티라이너롱,C,2,1,C0201
LG유니참,쏘피내몸에순한면내추럴컬러대형,C,3,4,C0304
LG유니참,쏘피내몸에순한면내추럴컬러슈퍼롱,C,4,5,C0405
LG유니참,쏘피바디피트귀애랑울트라슬림날개형대형,C,5,4,C0504
LG유니참,쏘피바디피트귀애랑울트라슬림날개형오버나이트에이,C,6,5,C0605
LG유니참,쏘피바디피트귀애랑울트라슬림날개형중형,C,7,3,C0703
LG유니참,쏘피바디피트볼록맞춤대형,C,8,4,C0804
LG유니참,쏘피바디피트볼록맞춤소형,C,9,2,C0902
LG유니참,쏘피바디피트볼록맞춤슈퍼롱,C,10,5,C1005
LG유니참,쏘피바디피트볼록맞춤오버나이트,C,11,5,C1105
LG유니참,쏘피바디피트볼록맞춤울트라슬림날개형대형,C,12,4,C1204
LG유니참,쏘피바디피트볼록맞춤울트라슬림날개형소형,C,13,2,C1302
LG유니참,쏘피바디피트볼록맞춤울트라슬림날개형오버나이트에이,C,14,5,C1405
LG유니참,쏘피바디피트볼록맞춤울트라슬림날개형중형,C,15,3,C1503
LG유니참,쏘피바디피트볼록맞춤중형,C,16,3,C1603
LG유니참,쏘피바디피트순간흡수대형,C,17,4,C1704
LG유니참,쏘피바디피트순간흡수중형,C,18,3,C1803
LG유니참,쏘피바디피트천연코튼팬티라이너일반향,C,19,1,C1901
LG유니참,쏘피순면커버내추럴컬러중형,C,20,3,C2003
LG유니참,쏘피순면커버대형,C,21,4,C2104
LG유니참,쏘피순면커버소형,C,22,2,C2202
LG유니참,쏘피순면커버중형,C,23,3,C2303
LG유니참,쏘피안심숙면팬티엘,C,24,6,C2406
LG유니참,쏘피안심숙면팬티엠에이,C,25,6,C2506
LG유니참,쏘피한결슈퍼롱,C,26,5,C2605
꿈꾸는고래,고래슬림롱팬티라이너,D,1,1,D0101
동성제약,와우순면울트라슬림대형,E,1,4,E0104
동성제약,와우순면울트라슬림중형,E,2,3,E0203
라라코리아 인터내셔날,라라문생리대(데이),F,1,3,F0103
㈜깨끗한나라,메이앤준스피드맥스울트라대형날개형,G,1,4,G0104
㈜깨끗한나라,순수한면울트라슈퍼가드대형날개형,G,2,4,G0204
㈜깨끗한나라,순수한면울트라슈퍼가드소형날개형,G,3,2,G0302
㈜깨끗한나라,순수한면울트라슈퍼가드중형날개형,G,4,3,G0403
㈜깨끗한나라,순수한면제로울트라슬림대형날개형,G,5,4,G0504
㈜깨끗한나라,순수한면제로울트라슬림소형날개형,G,6,2,G0602
㈜깨끗한나라,순수한면제로울트라슬림중형날개형,G,7,3,G0703
㈜내츄럴코리아,내츄럴코튼시그니처슈퍼롱오버나이트,H,1,5,H0105
㈜내츄럴코리아,내츄럴코튼시그니처울트라슬림대형,H,2,4,H0204
㈜내츄럴코리아,내츄럴코튼시그니처울트라슬림중형,H,3,3,H0303
㈜더블유비스킨,프롬소이대형,I,1,4,I0104
㈜보람씨앤에치,깨끗할청맑을담센서티브대형,J,2,4,J0204
㈜보람씨앤에치,깨끗할청맑을담센서티브중형,J,3,3,J0303
㈜보람씨앤에치,깨끗할청맑을담울트라슬림대형,J,4,4,J0404
㈜보람씨앤에치,깨끗할청맑을담울트라슬림중형,J,5,3,J0503
㈜보람씨앤에치,루나미더순한순면초슬림대형,J,6,4,J0604
㈜보람씨앤에치,루나미더순한순면초슬림중형,J,7,3,J0703
㈜보람씨앤에치,루나미소프트대형,J,8,4,J0804
㈜보람씨앤에치,루나미소프트오버나이트,J,9,5,J0905
㈜보람씨앤에치,루나미소프트중형,J,10,3,J1003
