code_PK,search,original_query,company,company_code
A1,"오드리선 그린웨이",오드리선그린웨이리미티드대형,"A&R International",A
A3,"오드리선 울트라슬림",오드리선울트라슬림리중형,"A&R International",A
B4,본에스생리대(소형),본에스생리대(소형),J2LOH(J2LFA),B
B5,본에스생리대(슈퍼롱),본에스생리대(슈퍼롱),J2LOH(J2LFA),B
B6,본플러스도톰한생리대대형,본플러스도톰한생리대대형,J2LOH(J2LFA),B
B7,본플러스도톰한생리대중형,본플러스도톰한생리대중형,J2LOH(J2LFA),B
B8,본플러스소형,본플러스소형,J2LOH(J2LFA),B
B9,본플러스중형,본플러스중형,J2LOH(J2LFA),B
B10,순면본생리대(대형),순면본생리대(대형),J2LOH(J2LFA),B
B11,순면본생리대(소형),순면본생리대(소형),J2LOH(J2LFA),B
B12,순면본생리대(중형),순면본생리대(중형),J2LOH(J2LFA),B
B13,오씨본울트라슬림생리대(대형),오씨본울트라슬림생리대(대형),J2LOH(J2LFA),B
B14,오씨본울트라슬림생리대(소형),오씨본울트라슬림생리대(소형),J2LOH(J2LFA),B
B15,오씨본울트라슬림생리대(중형),오씨본울트라슬림생리대(중형),J2LOH(J2LFA),B
C16,쏘피귀애랑오버나이트,쏘피귀애랑오버나이트,LG유니참,C
C17,쏘피귀애랑팬티라이너롱,쏘피귀애랑팬티라이너롱,LG유니참,C
C18,쏘피내몸에순한면내추럴컬러대형,쏘피내몸에순한면내추럴컬러대형,LG유니참,C
C19,쏘피내몸에순한면내추럴컬러슈퍼롱,쏘피내몸에순한면내추럴컬러슈퍼롱,LG유니참,C
C20,쏘피바디피트귀애랑울트라슬림날개형대형,쏘피바디피트귀애랑울트라슬림날개형대형,LG유니참,C
C21,쏘피바디피트귀애랑울트라슬림날개형오버나이트에이,쏘피바디피트귀애랑울트라슬림날개형오버나이트에이,LG유니참,C
C22,쏘피바디피트귀애랑울트라슬림날개형중형,쏘피바디피트귀애랑울트라슬림날개형중형,LG유니참,C
C23,쏘피바디피트볼록맞춤대형,쏘피바디피트볼록맞춤대형,LG유니참,C
C24,쏘피바디피트볼록맞춤소형,쏘피바디피트볼록맞춤소형,LG유니참,C
C25,쏘피바디피트볼록맞춤슈퍼롱,쏘피바디피트볼록맞춤슈퍼롱,LG유니참,C
C26,쏘피바디피트볼록맞춤오버나이트,쏘피바디피트볼록맞춤오버나이트,LG유니참,C
C27,쏘피바디피트볼록맞춤울트라슬림날개형대형,쏘피바디피트볼록맞춤울트라슬림날개형대형,LG유니참,C
C28,쏘피바디피트볼록맞춤울트라슬림날개형소형,쏘피바디피트볼록맞춤울트라슬림날개형소형,LG유니참,C
C29,쏘피바디피트볼록맞춤울트라슬림날개형오버나이트에이,쏘피바디피트볼록맞춤울트라슬림날개형오버나이트에이,LG유니참,C
C30,쏘피바디피트볼록맞춤울트라슬림날개형중형,쏘피바디피트볼록맞춤울트라슬림날개형중형,LG유니참,C
C31,쏘피바디피트볼록맞춤중형,쏘피바디피트볼록맞춤중형,LG유니참,C
C32,쏘피바디피트순간흡수대형,쏘피바디피트순간흡수대형,LG유니참,C
C33,쏘피바디피트순간흡수중형,쏘피바디피트순간흡수중형,LG유니참,C
C34,쏘피바디피트천연코튼팬티라이너일반향,쏘피바디피트천연코튼팬티라이너일반향,LG유니참,C
C35,쏘피순면커버내추럴컬러중형,쏘피순면커버내추럴컬러중형,LG유니참,C
C36,쏘피순면커버대형,쏘피순면커버대형,LG유니참,C
C37,쏘피순면커버소형,쏘피순면커버소형,LG유니참,C
C38,쏘피순면커버중형,쏘피순면커버중형,LG유니참,C
C39,"쏘피 안심숙면",쏘피안심숙면팬티엘,LG유니참,C
C41,쏘피한결슈퍼롱,쏘피한결슈퍼롱,LG유니참,C
D42,고래슬림롱팬티라이너,고래슬림롱팬티라이너,꿈꾸는고래,D
E43,와우순면울트라슬림대형,와우순면울트라슬림대형,동성제약,E
E44,와우순면울트라슬림중형,와우순면울트라슬림중형,동성제약,E
F45,라라문생리대(데이),라라문생리대(데이),"라라코리아 인터내셔날",F
G46,"메이앤준 스피드맥스",메이앤준스피드맥스울트라대형날개형,㈜깨끗한나라,G
G47,순수한면울트라슈퍼가드대형날개형,순수한면울트라슈퍼가드대형날개형,㈜깨끗한나라,G
G48,순수한면울트라슈퍼가드소형날개형,순수한면울트라슈퍼가드소형날개형,㈜깨끗한나라,G
G49,순수한면울트라슈퍼가드중형날개형,순수한면울트라슈퍼가드중형날개형,㈜깨끗한나라,G
G50,순수한면제로울트라슬림대형날개형,순수한면제로울트라슬림대형날개형,㈜깨끗한나라,G
G51,순수한면제로울트라슬림소형날개형,순수한면제로울트라슬림소형날개형,㈜깨끗한나라,G
G52,순수한면제로울트라슬림중형날개형,순수한면제로울트라슬림중형날개형,㈜깨끗한나라,G
H53,내츄럴코튼시그니처슈퍼롱오버나이트,내츄럴코튼시그니처슈퍼롱오버나이트,㈜내츄럴코리아,H
H54,내츄럴코튼시그니처울트라슬림대형,내츄럴코튼시그니처울트라슬림대형,㈜내츄럴코리아,H
H55,내츄럴코튼시그니처울트라슬림중형,내츄럴코튼시그니처울트라슬림중형,㈜내츄럴코리아,H
I56,프롬소이대형,프롬소이대형,㈜더블유비스킨,I
J57,청담소녀,깨끗할청맑을담센서티브대형,㈜보람씨앤에치,J
J59,"울트라 슬림 대형",깨끗할청맑을담울트라슬림대형,㈜보람씨앤에치,J
J60,깨끗할청맑을담울트라슬림중형,깨끗할청맑을담울트라슬림중형,㈜보람씨앤에치,J
J61,"순한 순면 대형",루나미더순한순면초슬림대형,㈜보람씨앤에치,J
J62,"루나미 순면",루나미더순한순면초슬림중형,㈜보람씨앤에치,J
J63,루나미소프트대형,루나미소프트대형,㈜보람씨앤에치,J
J64,루나미소프트오버나이트,루나미소프트오버나이트,㈜보람씨앤에치,J
J65,루나미소프트중형,루나미소프트중형,㈜보람씨앤에치,J
J66,"대형 울트라슬림",에어퀸브레스대형울트라슬림,㈜보람씨앤에치,J
J67,중형울트라슬림,에어퀸브레스중형울트라슬림,㈜보람씨앤에치,J
K68,뷰코셋바이오노말윙생리대,뷰코셋바이오노말윙생리대,㈜뷰코셋코리아,K
K69,뷰코셋바이오롱윙생리대,뷰코셋바이오롱윙생리대,㈜뷰코셋코리아,K
L70,블루블루울트라슬림중형날개형,블루블루울트라슬림중형날개형,㈜세한,L
M71,마로메라날개형대형,마로메라날개형대형,㈜수미,M
M72,마로메라날개형소형,마로메라날개형소형,㈜수미,M
M73,마로메라날개형중형,마로메라날개형중형,㈜수미,M
M74,마로메라라이너에이,마로메라라이너에이,㈜수미,M
N75,라엘대형,라엘대형,㈜에스에스케이,N
N76,라엘소형,라엘소형,㈜에스에스케이,N
N77,라엘중형,라엘중형,㈜에스에스케이,N
N78,오닉피노중형,오닉피노중형,㈜에스에스케이,N
N79,잇츠미슬림대형,잇츠미슬림대형,㈜에스에스케이,N
N80,잇츠미슬림대형순,잇츠미슬림대형순,㈜에스에스케이,N
N81,잇츠미슬림슈퍼롱,잇츠미슬림슈퍼롱,㈜에스에스케이,N
N82,잇츠미슬림중형,잇츠미슬림중형,㈜에스에스케이,N
N83,잇츠미슬림중형순,잇츠미슬림중형순,㈜에스에스케이,N
O84,오가닉코튼패드데이윙(소형),오가닉코튼패드데이윙(소형),㈜와이앤제이,O
P85,그날엔순면대형,그날엔순면대형,㈜웰크론헬스케어,P
P86,그날엔순면중형,그날엔순면중형,㈜웰크론헬스케어,P
P87,"그날엔순면 중형",그날엔순면중형오닉,㈜웰크론헬스케어,P
P88,뉴예지미인순슬림대형,뉴예지미인순슬림대형,㈜웰크론헬스케어,P
P89,뉴예지미인순슬림소형,뉴예지미인순슬림소형,㈜웰크론헬스케어,P
P90,뉴예지미인순슬림중형,뉴예지미인순슬림중형,㈜웰크론헬스케어,P
